
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous Trust_Human=Trust_Human>0 ) = 0.41660 * 0.06036 / 0.07805 = 0.32216 (74) (A_count=1226)
P(EventW_Machine=EventW_Machine==pedestrian detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.03402 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=73)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.84472 * 0.07596 / 0.06417 = 1.00000 (140) (A_count=1843)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.84472 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1843)
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.91677 * 0.00000 / 0.00252 = 0.00000 (0) (A_count=2682)
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.00864 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=20)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human>0 ) = 0.42638 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1136)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.04465 * 0.11364 / 0.00542 = 0.93588 (15) (A_count=132)
P(Trust_Human=Trust_Human<0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.11339 * 0.00331 / 0.00038 = 1.00000 (1) (A_count=302)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.95500 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2748)
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.95500 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2748)
P(EventW_Machine=EventW_Machine==cyclist detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.01548 * 0.00000 / 0.02045 = 0.00000 (0) (A_count=40)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.84472 * 0.00597 / 0.00519 = 0.97116 (11) (A_count=1843)
P(EventW_Machine=EventW_Machine==pedestrian detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.03402 * 0.09589 / 0.00326 = 1.00000 (7) (A_count=73)
P(Trust_Human=Trust_Human<0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.11339 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=302)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human<0 ) = 0.57327 * 0.00057 / 0.00070 = 0.46668 (1) (A_count=1744)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.04465 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=132)
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00000 / 0.00183 = 0.00000 (0) (A_count=1037)
P(EventW_Machine=EventW_Machine==obstacle detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.01746 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=44)
P(EventW_Machine=EventW_Machine==obstacle detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.01746 * 0.20455 / 0.23362 = 0.01529 (9) (A_count=44)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.95500 * 0.00146 / 0.00139 = 1.00000 (4) (A_count=2748)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human==0 ) = 0.57327 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1744)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.95500 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2748)
P(EventW_Machine=EventW_Machine==obstacle detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.01746 * 0.00000 / 0.00935 = 0.00000 (0) (A_count=44)
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.00864 * 0.00000 / 0.00797 = 0.00000 (0) (A_count=20)
P(Trust_Human=Trust_Human<0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.11339 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=302)
P(Trust_Human=Trust_Human<0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.11339 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=302)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human<0 ) = 0.57327 * 0.00057 / 0.00070 = 0.46668 (1) (A_count=1744)
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00642 = 0.00000 (0) (A_count=1037)
P(Trust_Human=Trust_Human>0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.12122 * 0.01351 / 0.00334 = 0.49067 (4) (A_count=296)
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.00864 * 0.00000 / 0.00208 = 0.00000 (0) (A_count=20)
P(EventW_Machine=EventW_Machine==obstacle detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.01746 * 0.00000 / 0.00208 = 0.00000 (0) (A_count=44)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human<0 ) = 0.42638 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1136)
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human<0 ) = 0.42638 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1136)
P(EventW_Machine=EventW_Machine==false alarm | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.00727 * 0.00000 / 0.21216 = 0.00000 (0) (A_count=21)
P(Trust_Human=Trust_Human>0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.12122 * 0.00000 / 0.01972 = 0.00000 (0) (A_count=296)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00000 / 0.00030 = 0.00000 (0) (A_count=1843)
P(Trust_Human=Trust_Human<0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.11339 * 0.00000 / 0.00344 = 0.00000 (0) (A_count=302)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ) = 0.42638 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1136)
P(EventW_Machine=EventW_Machine==false alarm | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.00727 * 0.00000 / 0.00313 = 0.00000 (0) (A_count=21)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.95500 * 0.00182 / 0.00174 = 1.00000 (5) (A_count=2748)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1843)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human>0 ) = 0.57327 * 0.00000 / 0.00038 = 0.00000 (0) (A_count=1744)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.95500 * 0.00146 / 0.00139 = 1.00000 (4) (A_count=2748)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.04465 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=132)
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.00864 * 0.00000 / 0.00243 = 0.00000 (0) (A_count=20)
P(EventW_Machine=EventW_Machine==pedestrian detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.03402 * 0.00000 / 0.00792 = 0.00000 (0) (A_count=73)
P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.76504 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2282)
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.00864 * 0.05000 / 0.05451 = 0.00793 (1) (A_count=20)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00054 / 0.00106 = 0.43350 (1) (A_count=1843)
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(Trust_Human=Trust_Human<0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.11339 * 0.00000 / 0.00103 = 0.00000 (0) (A_count=302)
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human<0 ) = 0.57327 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1744)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.95500 * 0.23581 / 0.22520 = 1.00000 (648) (A_count=2748)
P(EventW_Machine=EventW_Machine==obstacle detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.01746 * 0.25000 / 0.03659 = 0.11933 (11) (A_count=44)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human<0 ) = 0.42638 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1136)
P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.76504 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2282)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human>0 ) = 0.42638 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1136)
P(Trust_Human=Trust_Human<0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.11339 * 0.00000 / 0.00310 = 0.00000 (0) (A_count=302)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.95500 * 0.00000 / 0.00920 = 0.00000 (0) (A_count=2748)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.04465 * 0.00000 / 0.00070 = 0.00000 (0) (A_count=132)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ) = 0.57327 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1744)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.84472 * 0.00054 / 0.00046 = 1.00000 (1) (A_count=1843)
P(Trust_Human=Trust_Human>0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.12122 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=296)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human<0 ) = 0.42638 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1136)
P(EventW_Machine=EventW_Machine==false alarm | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.00727 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=21)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.04465 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=132)
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00504 = 0.00000 (0) (A_count=1037)
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.00864 * 0.15000 / 0.23839 = 0.00544 (3) (A_count=20)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human==0 ) = 0.42638 * 0.52993 / 0.43909 = 0.51460 (602) (A_count=1136)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human<0 ) = 0.57327 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1744)
P(Trust_Human=Trust_Human<0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.11339 * 0.04967 / 0.01732 = 0.32507 (15) (A_count=302)
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.95500 * 0.00255 / 0.00243 = 1.00000 (7) (A_count=2748)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.84472 * 0.05751 / 0.04858 = 1.00000 (106) (A_count=1843)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human==0 ) = 0.57327 * 0.00172 / 0.00136 = 0.72415 (3) (A_count=1744)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human>0 ) = 0.42638 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1136)
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00096 / 0.00061 = 0.24612 (1) (A_count=1037)
P(Trust_Human=Trust_Human<0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.11339 * 0.00000 / 0.00034 = 0.00000 (0) (A_count=302)
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.84472 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1843)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ) = 0.42638 * 0.02377 / 0.01211 = 0.83701 (27) (A_count=1136)
P(Trust_Human=Trust_Human<0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.11339 * 0.00000 / 0.00103 = 0.00000 (0) (A_count=302)
P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.76504 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2282)
P(CurrentBrake_Machine=CurrentBrake_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.04465 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=132)
P(EventW_Machine=EventW_Machine==cyclist detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.01548 * 0.02500 / 0.21185 = 0.00183 (1) (A_count=40)
